id,name,post_code,country,lat,lon
196,Hamburg,22117,Germany,53.554423,9.994583
197,Hamburg,22143,Germany,53.581944,10.084167
198,Hamburg,22145,Germany,53.60558,10.21993
199,Hamburg,22147,Germany,53.581944,10.084167
200,Hamburg,22149,Germany,53.581944,10.084167
201,Hamburg,22159,Germany,53.581944,10.084167
202,Hamburg,22177,Germany,53.581944,10.084167
203,Hamburg,22179,Germany,53.581944,10.084167
204,Hamburg,22175,Germany,53.581944,10.084167
205,Hamburg,22045,Germany,53.581944,10.084167
206,Hamburg,22047,Germany,53.581944,10.084167
207,Hamburg,22041,Germany,53.581944,10.084167
208,Hamburg,22043,Germany,53.581944,10.084167
209,Hamburg,22049,Germany,53.581944,10.084167
210,Hamburg,22081,Germany,53.6153,9.99269
211,Hamburg,22083,Germany,53.6153,9.99269
212,Hamburg,22089,Germany,53.581944,10.084167
213,Hamburg,22085,Germany,53.6153,9.99269
214,Hamburg,22087,Germany,53.581944,10.084167
215,Hamburg,21029,Germany,53.554423,9.994583
216,Hamburg,22359,Germany,53.581944,10.084167
217,Hamburg,21033,Germany,53.554423,9.994583
218,Hamburg,21035,Germany,53.554423,9.994583
219,Hamburg,21031,Germany,53.554423,9.994583
220,Hamburg,21037,Germany,53.554423,9.994583
221,Hamburg,21039,Germany,53.554423,9.994583
222,Hamburg,22391,Germany,53.581944,10.084167
223,Hamburg,22397,Germany,53.581944,10.084167
224,Hamburg,22399,Germany,53.581944,10.084167
225,Hamburg,22393,Germany,53.581944,10.084167
226,Hamburg,22395,Germany,53.581944,10.084167
227,Hamburg,21077,Germany,53.46058,9.98139
228,Hamburg,21079,Germany,53.46058,9.98139
229,Hamburg,21073,Germany,53.46058,9.98139
230,Hamburg,21075,Germany,53.46058,9.98139
231,Hamburg,22305,Germany,53.6153,9.99269
232,Hamburg,22307,Germany,53.6153,9.99269
233,Hamburg,22301,Germany,53.6153,9.99269
234,Hamburg,22303,Germany,53.6153,9.99269
235,Hamburg,22309,Germany,53.581944,10.084167
236,Hamburg,22339,Germany,53.581944,10.084167
237,Hamburg,22335,Germany,53.6153,9.99269
238,Hamburg,22337,Germany,53.6153,9.99269
239,Hamburg,22297,Germany,53.6153,9.99269
240,Hamburg,22299,Germany,53.6153,9.99269
241,Hamburg,22525,Germany,53.55506,9.94196
242,Hamburg,22527,Germany,53.574444,9.959444
243,Hamburg,22523,Germany,53.574444,9.959444
244,Hamburg,22529,Germany,53.574444,9.959444
245,Hamburg,22547,Germany,53.55506,9.94196
246,Hamburg,22549,Germany,53.55506,9.94196
247,Hamburg,22559,Germany,53.55506,9.94196
248,Hamburg,22587,Germany,53.55506,9.94196
249,Hamburg,22589,Germany,53.55506,9.94196
250,Hamburg,22605,Germany,53.55506,9.94196
251,Hamburg,22607,Germany,53.55506,9.94196
252,Hamburg,22609,Germany,53.55506,9.94196
253,Hamburg,21147,Germany,53.46058,9.98139
254,Hamburg,21149,Germany,53.46058,9.98139
255,Hamburg,22415,Germany,53.581944,10.084167
256,Hamburg,22417,Germany,53.581944,10.084167
257,Hamburg,22419,Germany,53.6153,9.99269
258,Hamburg,21107,Germany,53.554423,9.994583
259,Hamburg,21109,Germany,53.554423,9.994583
260,Hamburg,22453,Germany,53.574444,9.959444
261,Hamburg,21129,Germany,53.46058,9.98139
262,Hamburg,22459,Germany,53.574444,9.959444
263,Hamburg,22455,Germany,53.574444,9.959444
264,Hamburg,22457,Germany,53.574444,9.959444
265,Hamburg,22761,Germany,53.55506,9.94196
266,Hamburg,22767,Germany,53.55506,9.94196
267,Hamburg,22769,Germany,53.55506,9.94196
268,Hamburg,22763,Germany,53.55506,9.94196
269,Hamburg,22765,Germany,53.55506,9.94196
270,Hamburg,20144,Germany,53.574444,9.959444
271,Hamburg,20149,Germany,53.574444,9.959444
272,Hamburg,20146,Germany,53.574444,9.959444
273,Hamburg,20148,Germany,53.574444,9.959444
274,Hamburg,20097,Germany,53.554423,9.994583
275,Hamburg,20099,Germany,53.554423,9.994583
276,Hamburg,20095,Germany,53.554423,9.994583
277,Hamburg,20359,Germany,53.55506,9.94196
278,Hamburg,20354,Germany,53.574444,9.959444
279,Hamburg,20355,Germany,53.554423,9.994583
280,Hamburg,20357,Germany,53.55506,9.94196
281,Hamburg,20249,Germany,53.574444,9.959444
282,Hamburg,20251,Germany,53.6153,9.99269
283,Hamburg,20253,Germany,53.574444,9.959444
284,Hamburg,20259,Germany,53.574444,9.959444
285,Hamburg,20255,Germany,53.574444,9.959444
286,Hamburg,20257,Germany,53.55506,9.94196
287,Hamburg,20457,Germany,53.554423,9.994583
288,Hamburg,20459,Germany,53.554423,9.994583
289,Hamburg,20535,Germany,53.554423,9.994583
290,Hamburg,20537,Germany,53.554423,9.994583
291,Hamburg,20539,Germany,53.554423,9.994583
292,München,80313,Germany,48.1374,11.5755
293,München,80686,Germany,48.1374,11.5755
294,München,80687,Germany,48.1374,11.5755
295,München,80689,Germany,48.1374,11.5755
296,München,80634,Germany,48.1374,11.5755
297,München,80637,Germany,48.1374,11.5755
